model,item_id,family,template,k,n_steps,n_boundaries,method,control_of,attn_text_entropy,attn_text_mass,attn_share,attn_share_max,attn_block_entropy,attn_unif_dev,attn_per_occurrence,n_occ_cols,layer,layer_frac,q_hat,r2,slope,sigma_early,sigma_late,sigma_ratio,q_bnd,r2_bnd,d1,d_median,n_eff,alpha,log_kf,floor,horizon_scale,horizon
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,9,0.3,0.9948561822451837,0.20105064793250704,-0.010314185455249229,0.5151664614677429,0.4917374849319458,0.9545215415051546,nan,nan,nan,0.0,100.27199442109689,1.0010563581562069,0.6635473431736321,0.0,193.90770203595116,nan
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,12,0.4,0.9953396334807761,0.1637268112021607,-0.009342519770332212,0.5560625791549683,0.5344218313694,0.9610821720489535,nan,nan,nan,0.0,nan,nan,nan,0.0,214.07500858078546,nan
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,15,0.5,0.9950018070856098,0.17098053133212543,-0.010021451317502872,0.5917181968688965,0.5690994262695312,0.961774421136525,nan,nan,nan,0.0,nan,nan,nan,0.0,199.57189199800956,nan
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,18,0.6,0.9982221069682682,0.026951141868181483,-0.0035589507185977776,0.5897256731987,0.592393547296524,1.0045239239515442,nan,nan,nan,0.0,148.599067976727,0.7683010477394036,-0.3326181729616305,0.0,561.9633870030158,nan
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,21,0.7,1.0009413639087268,0.012116158022352663,0.0018818422071889508,0.628288984298706,0.649812787771225,1.034257808127169,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,24,0.8,1.0004146558683644,0.004204246786281729,0.0008291398447553629,0.7122087478637695,0.7279097437858582,1.0220454971511974,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,27,0.9,1.0012921772558379,0.06736129603413887,0.0025826862266074848,0.8516911566257477,0.8728380501270294,1.0248292979641376,nan,nan,nan,0.0,nan,nan,nan,0.0,inf,inf
xtts2,ct_blue_t4_k16,control_word,t4,16,228,16,attention,wr_blue_t4_k16,4.206305027008057,0.31345605850219727,0.0625,0.08716143667697906,2.755126476287842,0.024661436676979065,0.00408482551574707,16,29,1.0,1.0034839539296376,0.19636912034996679,0.006955798042835819,0.7667864263057709,0.8089320957660675,1.0549640265065023,nan,nan,nan,0.0,99.01883280415045,0.9945859262342199,1.1638012916837934,0.0,inf,inf
xtts2,ct_blue_t4_k24,control_word,t4,24,373,24,attention,wr_blue_t4_k24,4.482580661773682,0.3189263343811035,0.0416666679084301,0.06465837359428406,3.1519463062286377,0.022991705685853958,0.0030660629272460938,24,0,0.0,0.9875188347043167,0.4602212122981785,-0.03767912781136293,0.9008689224720001,0.7331977188587189,0.8138783574049946,nan,nan,nan,0.0,137.90195200260686,1.0148222717529076,1.7791545632490435,0.0,79.61967737202504,nan
xtts2,ct_blue_t4_k24,control_word,t4,24,373,24,attention,wr_blue_t4_k24,4.482580661773682,0.3189263343811035,0.0416666679084301,0.06465837359428406,3.1519463062286377,0.022991705685853958,0.0030660629272460938,24,3,0.1,0.9808338443305631,0.6752082051530801,-0.05805662259965571,0.5226780772209167,0.37684090435504913,0.7209808881954932,nan,nan,nan,0.0,nan,nan,nan,0.0,51.67369140101864,nan
